cik,coname,form,file_date,file_name,hlink,rdate,secadate,secatime,accession,type,document,file_size,sequence,description
1000177,NORDIC AMERICAN TANKERS Ltd,SC 13G,2020-02-07,edgar/data/1000177/0000834237-20-008215.txt,https://www.sec.gov/Archives/edgar/data/1000177/000083423720008215/0000834237-20-008215-index.html,NA,2020-02-07,08:45:52,0000834237-20-008215,,0000834237-20-008215.txt,13285.0,,Complete submission text file
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,20-F,sap-20191231x20f6ea59a.htm iXBRL,11116664.0,1.0,20-F
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,EX-12.1,ex-12d1.htm,13721.0,2.0,EX-12.1
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,EX-12.2,ex-12d2.htm,13739.0,3.0,EX-12.2
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,EX-12.3,ex-12d3.htm,15252.0,4.0,EX-12.3
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,EX-13.1,ex-13d1.htm,6768.0,5.0,EX-13.1
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,EX-13.2,ex-13d2.htm,9799.0,6.0,EX-13.2
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,EX-13.3,ex-13d3.htm,10213.0,7.0,EX-13.3
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,EX-15,ex-15.htm,3858.0,8.0,EX-15
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a003.jpg,56082.0,14.0,GRAPHIC
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a005.jpg,19619.0,15.0,GRAPHIC
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a006.jpg,12318.0,16.0,GRAPHIC
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a007.jpg,12116.0,17.0,GRAPHIC
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a008.jpg,12162.0,18.0,GRAPHIC
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a009.jpg,11593.0,19.0,GRAPHIC
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a010.jpg,12291.0,20.0,GRAPHIC
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a011.jpg,7256.0,21.0,GRAPHIC
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a012.jpg,12116.0,22.0,GRAPHIC
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a013.jpg,11338.0,23.0,GRAPHIC
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a014.jpg,12196.0,24.0,GRAPHIC
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a015.jpg,8331.0,25.0,GRAPHIC
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a016.jpg,12738.0,26.0,GRAPHIC
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a017.jpg,13889.0,27.0,GRAPHIC
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a018.jpg,13135.0,28.0,GRAPHIC
